target,target_name,render_seed,submission_rank,branch,iteration,candidate_index,prompt,render,top3_render,clip_similarity,lpips,pixel_mse,pixel_rmse,rank_clip,rank_lpips,rank_mse,rank_composite
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,1,clip,1,2,"Glass of orange juice, vibrant orange slices, creamy texture, photorealistic, smooth!",outputs/phase4/1159_25/clip/iter01_01.png,outputs/phase4_top3/1159_25_rank1_clip_cand002.png,0.9374335408210754,0.5006363391876221,0.02362045831978321,0.15368948876857758,1,1,1,1.0
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,2,clip,1,3,"Orange juice, glass with slice, vibrant oranges, creamy texture, photorealistic, smooth!",outputs/phase4/1159_25/clip/iter01_02.png,outputs/phase4_top3/1159_25_rank2_clip_cand003.png,0.9363301992416382,0.5504050254821777,0.028575504198670387,0.1690429002046585,2,4,2,2.667
statement/TP2-students/students/tp2-chosen/1159_25.png,1159_25.png,1159,3,lpips,1,4,"Orange juice, there is a glass of orange juice with a slice of orange on the side, 3d image, photostock, octane realphoto, top milk brands, white border and background, scp-914, unsplash photography, smooth!",outputs/phase4/1159_25/lpips/iter01_01.png,outputs/phase4_top3/1159_25_rank3_lpips_cand004.png,0.896757185459137,0.512225866317749,0.0369567796587944,0.19224146008491516,4,2,3,3.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,1,warm,0,1,"The palm tree on the beach at sunset, arafed palm tree on a rock in the ocean at sunset, photorender, trees growing on its body, flooded ground, octane realphoto, under the soft shadow of a tree, hazy water, twisted trunk, water swirling, deblurring, by Matthias Weischer, photoshoped, by Robert Koehler, 3 drender, high-definition photograph",outputs/phase4/1159_29/_warm/warm.png,outputs/phase4_top3/1159_29_rank1_warm_cand001.png,0.9146667718887329,0.7094648480415344,0.045111771672964096,0.2123953253030777,1,1,1,1.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,2,mse,1,7,"The palm tree on the beach at sunset, arafed palm tree on a rock in the ocean at sunset, photorender, trees growing on its body, flooded ground, octane realphoto, under the soft shadow of a tree, hazy water, twisted trunk, water swirling, deblurring, by Matthias Weischer, photoshoped, by Robert Koehler, 3 drender, high-definition photograph, exact palm leaves, clear sky, golden hour, realistic reflections, detailed rocks, serene atmosphere, by artist X",outputs/phase4/1159_29/mse/iter01_01.png,outputs/phase4_top3/1159_29_rank2_mse_cand007.png,0.9146667718887329,0.7094648480415344,0.045111771672964096,0.2123953253030777,2,2,2,2.0
statement/TP2-students/students/tp2-chosen/1159_29.png,1159_29.png,1159,3,mse,1,8,"The palm tree on the beach at sunset, arafed palm tree on a rock in the ocean at sunset, photorender, trees growing on its body, flooded ground, octane realphoto, under the soft shadow of a tree, hazy water, twisted trunk, water swirling, deblurring, by Matthias Weischer, photoshoped, by Robert Koehler, 3 drender, high-definition photograph, vibrant green, warm orange, clear horizon, realistic waves, detailed shadows, tranquil scene, by artist Y",outputs/phase4/1159_29/mse/iter01_02.png,outputs/phase4_top3/1159_29_rank3_mse_cand008.png,0.9146667718887329,0.7094648480415344,0.045111771672964096,0.2123953253030777,3,3,3,3.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,1,mse,1,12,"ash blond female character with fire emanating from her hands, wearing tactical gear, holding a sword, inspired by Mandy Jurgens, Yanjun Cheng, visibly angry, official character illustration, fireball lighting her face, asymmetrical artwork",outputs/phase4/1159_3/mse/iter01_04.png,outputs/phase4_top3/1159_3_rank1_mse_cand012.png,0.849285364151001,0.5617532134056091,0.039346642792224884,0.198359876871109,4,1,1,2.0
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,2,lpips,1,5,"ash blond female character with fire coming out of her hands, anime character with a sword and fire in his hand, inspired by Mandy Jurgens, Yanjun Cheng, visibly angry, official character illustration, fireball lighting her face, asymmetrical artwork, detailed textures",outputs/phase4/1159_3/lpips/iter01_02.png,outputs/phase4_top3/1159_3_rank2_lpips_cand005.png,0.8582649230957031,0.6308826208114624,0.04433737322688103,0.21056441962718964,1,5,4,3.333
statement/TP2-students/students/tp2-chosen/1159_3.png,1159_3.png,1159,3,lpips,1,7,"ash blond female character with fire coming out of her hands, anime character with a sword and fire in his hand, inspired by Mandy Jurgens, Yanjun Cheng, visibly angry, official character illustration, fireball lighting her face, asymmetrical artwork, detailed shading",outputs/phase4/1159_3/lpips/iter01_04.png,outputs/phase4_top3/1159_3_rank3_lpips_cand007.png,0.8529644012451172,0.6422207355499268,0.0455741249024868,0.21348096430301666,2,9,7,6.0
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,1,mse,1,6,"A hedgehog, small hedgehog, crystal translucent hair, Kim Keever style, SCP-914, unique design, checkered spikes, translucent cube, fluffy, optical illusion, photo of head",outputs/phase4/1159_7/mse/iter01_01.png,outputs/phase4_top3/1159_7_rank1_mse_cand006.png,0.7443870306015015,0.6766932010650635,0.02780023030936718,0.1667340099811554,2,3,2,2.333
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,2,warm,0,1,"A hedgehog, there is a small hedgehog sitting on top of a block of cake, crystalline translucent hair, by Kim Keever, scp-914, unique design, checkered spiked hair, translucent cube, outrageously fluffy, feathered head, optical illusions, photo of head",outputs/phase4/1159_7/_warm/warm.png,outputs/phase4_top3/1159_7_rank2_warm_cand001.png,0.7606570720672607,0.671029269695282,0.034953758120536804,0.18695923686027527,1,1,6,2.667
statement/TP2-students/students/tp2-chosen/1159_7.png,1159_7.png,1159,3,clip,1,3,"A hedgehog, small hedgehog, crystal hair, Kim Keever style, SCP-914, unique design, checkered spikes, translucent cube, fluffy, feathered head, photo of head",outputs/phase4/1159_7/clip/iter01_02.png,outputs/phase4_top3/1159_7_rank3_clip_cand003.png,0.7106469869613647,0.6745593547821045,0.02717556618154049,0.1648501306772232,5,2,1,2.667
statement/TP2-students/students/tp2-chosen/7836.png,7836.png,7836,1,warm,0,1,"The astronaut, astronaut standing on the surface of a planet with a bright light shining in the background, flat matte painting, vertical wallpaper, to infinity and beyond, gazing off into the horizon, cover art, dark blurry background",outputs/phase4/7836/_warm/warm.png,outputs/phase4_top3/7836_rank1_warm_cand001.png,0.8053728938102722,0.5180400013923645,0.01631770469248295,0.1277407705783844,1,1,1,1.0
statement/TP2-students/students/tp2-chosen/9338.png,9338.png,9338,1,clip,1,3,"A rainbow colored hamster, painting of a mouse with a colorful tail and tail, julie dillon, volumetric rainbow lighting, the squirrel king, featured on dribble, rendered art",outputs/phase4/9338/clip/iter01_03.png,outputs/phase4_top3/9338_rank1_clip_cand003.png,0.8521815538406372,0.5754689574241638,0.018449578434228897,0.13582922518253326,1,1,1,1.0
statement/TP2-students/students/tp2-chosen/9338.png,9338.png,9338,2,mse,1,5,"A rainbow colored hamster, painting of a mouse with a colorful tail and tail, julie dillon, volumetric rainbow lighting, the squirrel king, featured on dribble, photographic color scheme blur, rendered art",outputs/phase4/9338/mse/iter01_04.png,outputs/phase4_top3/9338_rank2_mse_cand005.png,0.8338238000869751,0.5966976881027222,0.020199064165353775,0.14212341606616974,4,2,2,2.667
statement/TP2-students/students/tp2-chosen/9338.png,9338.png,9338,3,clip,1,2,"A rainbow colored hamster, painting of a mouse with a colorful tail and tail, volumetric rainbow lighting, julie dillon, the squirrel king, featured on dribbble, rendered art",outputs/phase4/9338/clip/iter01_01.png,outputs/phase4_top3/9338_rank3_clip_cand002.png,0.8494879007339478,0.6083132028579712,0.02311478555202484,0.15203547477722168,2,4,3,3.0
